"","user_id","retweet_count","hashtags","links","mentions","user_favorites","user_statuses","user_location","rt_user_fav_count","rt_user_stat_count","rt_user_loc","rt_user_id"
"27308",22114428,6,6,FALSE,1,398,40333,"Atlantic City,NJ",6,17659,"This world is not my home",50836292
"27309",325133972,3,2,FALSE,1,15,4749,NA,0,53101,NA,78527996
"27310",65068441,1,2,FALSE,1,22,17513,NA,3,466,NA,474630302
"27311",430019482,0,2,FALSE,2,4,4970,NA,27,112966,NA,74144130
"27312",532686410,176,0,FALSE,1,0,65,NA,0,1117,NA,342887079
"27313",237154798,0,0,FALSE,0,0,2,NA,NA,NA,NA,NA
"27314",295783332,0,0,FALSE,1,375,46660,NA,NA,NA,NA,NA
"27315",16495831,4,2,FALSE,1,1,1594,NA,0,53101,NA,78527996
"27316",345551240,0,0,FALSE,1,10,6709,NA,398,40333,"Atlantic City,NJ",22114428
"27317",388986101,5,3,FALSE,1,984,19902,NA,17,3295,NA,26068217
"27318",50648768,8,0,FALSE,1,33,10105,"Millington, Michigan",2,13394,NA,61220477
"27319",435459729,14,0,FALSE,1,6,1610,"Dallas, Texas",7,41529,NA,28785486
"27320",74144130,0,2,FALSE,1,27,112967,NA,NA,NA,NA,NA
"27321",282795345,0,0,FALSE,0,4,2260,NA,NA,NA,NA,NA
"27322",270647167,4,0,FALSE,1,29,17187,NA,2,2746,NA,292977709
"27323",282751808,0,0,FALSE,0,0,34538,NA,NA,NA,NA,NA
"27324",189465135,13,0,FALSE,1,64,14760,NA,97,4648,NA,26344773
"27325",497374824,0,0,FALSE,0,38,2008,NA,NA,NA,NA,NA
"27326",48339049,0,0,FALSE,0,49,19635,NA,NA,NA,NA,NA
"27327",456026082,0,0,FALSE,0,9,277,NA,NA,NA,NA,NA
"27328",309168200,0,0,FALSE,1,3,844,NA,NA,NA,NA,NA
"27329",37139591,0,1,FALSE,1,3207,35611,NA,NA,NA,NA,NA
"27330",23153051,0,1,FALSE,1,0,3225,NA,NA,NA,NA,NA
"27331",43979617,41,0,FALSE,1,13,2638,NA,0,290,NA,247723476
"27332",438040565,0,2,FALSE,1,8,4847,NA,1,276,NA,357080873
"27333",523355642,2,0,FALSE,1,0,9,NA,62,74297,NA,12144232
"27334",340567206,17,0,FALSE,1,16,3264,NA,62,102994,NA,15300388
"27335",518903339,0,0,FALSE,1,0,249,NA,NA,NA,NA,NA
"27336",24342754,0,0,FALSE,0,53,2189,NA,NA,NA,NA,NA
"27337",497666548,0,0,FALSE,1,0,1012,NA,NA,NA,NA,NA
"27338",289756491,0,0,FALSE,1,4,2688,NA,11,4525,"THE $",260291732
"27339",494365097,0,9,FALSE,0,0,6222,NA,NA,NA,NA,NA
"27340",184992595,0,0,FALSE,0,316,4646,NA,NA,NA,NA,NA
"27341",36602374,1,4,FALSE,1,9,6658,NA,0,9432,NA,269961285
